airport,airport_name,total_flights,total_delays,total_delay_min,weather_min,carrier_min,nas_min,late_aircraft_min,n_carriers,delay_rate,avg_delay_min,lat,lon,state,region
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",3119.0,644.0,56965.0,6460.0,19892.0,6645.0,23937.0,5,0.20647643475472907,88.45496894409938,40.6521,-75.4408,PA,Northeast
ABI,"Abilene, TX: Abilene Regional",1168.0,306.0,20161.0,2166.0,3333.0,3384.0,11278.0,1,0.261986301369863,65.88562091503267,32.4113,-99.6819,TX,South
ABQ,"Albuquerque, NM: Albuquerque International Sunport",16391.0,3829.0,228157.0,9495.0,83810.0,25556.0,108933.0,12,0.23360380696723812,59.58657612953774,35.0402,-106.6094,NM,West
ABR,"Aberdeen, SD: Aberdeen Regional",487.0,93.0,8296.0,1939.0,5791.0,566.0,0.0,1,0.19096509240246407,89.20430107526882,,,,
ABY,"Albany, GA: Southwest Georgia Regional",488.0,116.0,10723.0,2045.0,7952.0,726.0,0.0,2,0.23770491803278687,92.4396551724138,,,,
ACK,"Nantucket, MA: Nantucket Memorial",1628.0,293.0,23299.0,2855.0,9621.0,4659.0,6164.0,5,0.17997542997542998,79.51877133105802,,,,
ACT,"Waco, TX: Waco Regional",729.0,158.0,10812.0,1896.0,4300.0,1259.0,3313.0,2,0.2167352537722908,68.43037974683544,,,,
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",1076.0,247.0,19662.0,2812.0,6361.0,4904.0,5580.0,1,0.2295539033457249,79.60323886639677,,,,
ACY,"Atlantic City, NJ: Atlantic City International",2209.0,538.0,36323.0,1001.0,8567.0,13646.0,12711.0,1,0.24354911724762335,67.51486988847584,,,,
ADK,"Adak Island, AK: Adak",70.0,8.0,536.0,0.0,248.0,73.0,215.0,1,0.11428571428571428,67.0,,,,
ADQ,"Kodiak, AK: Kodiak Airport",546.0,86.0,4875.0,443.0,1404.0,493.0,2535.0,1,0.1575091575091575,56.68604651162791,,,,
AEX,"Alexandria, LA: Alexandria International",1282.0,195.0,13016.0,2267.0,5948.0,2261.0,2540.0,2,0.15210608424336974,66.74871794871795,,,,
