state,n_airports,total_flights,total_delays,total_delay_min,weather_min,carrier_min,nas_min,late_aircraft_min,delay_rate,weather_share
PR,1,24674.0,7005.0,522477.0,25203.0,207234.0,99107.0,189535.0,0.28390208316446464,0.04836694627877922
CT,1,15546.0,4073.0,284629.0,11379.0,107541.0,40241.0,125145.0,0.2619966550881256,0.040023777197807996
FL,12,407156.0,105763.0,8126216.0,323044.0,2500632.0,2008808.0,3278234.0,0.2597603866822545,0.03982927282146907
KS,1,7894.0,2008.0,143346.0,11869.0,52196.0,19284.0,59647.0,0.25437040790473775,0.08300232174326555
LA,3,42146.0,10608.0,714913.0,52434.0,228493.0,112393.0,319785.0,0.25169648365206665,0.07352914367449394
NE,1,16148.0,4058.0,268736.0,20700.0,99202.0,35437.0,113074.0,0.25130047064651967,0.07711996065764326
IA,1,10786.0,2690.0,202180.0,11277.0,63497.0,29068.0,98234.0,0.2493973669571667,0.05580573645559096
WI,4,37548.0,9361.0,707592.0,68567.0,266082.0,93888.0,278060.0,0.24930755299882817,0.0970383401005099
TX,13,533365.0,131335.0,10517367.0,791300.0,3159628.0,1922422.0,4628056.0,0.24623850458879004,0.07535181479508553
MA,1,95489.0,23452.0,1830760.0,73312.0,580785.0,456015.0,718667.0,0.24559896951481322,0.04008794939136987
NV,2,140479.0,34239.0,2217085.0,81179.0,610751.0,544748.0,976007.0,0.24373037962969554,0.03668800574867186
RI,1,10722.0,2574.0,194562.0,13306.0,69786.0,22581.0,88578.0,0.2400671516508114,0.06849900386613196
OK,2,28705.0,6859.0,469471.0,37561.0,167199.0,54526.0,209917.0,0.23894791848110086,0.08005277033608055
AR,2,19397.0,4584.0,317878.0,23083.0,103000.0,52240.0,139074.0,0.2363252049285972,0.072725955191763
PA,3,114297.0,26707.0,2213457.0,115187.0,694862.0,329924.0,1069566.0,0.23366317576139356,0.05213168900843117
NM,1,16391.0,3829.0,228157.0,9495.0,83810.0,25556.0,108933.0,0.23360380696723812,0.041682397253659006
SD,1,5255.0,1227.0,86444.0,7624.0,31883.0,13465.0,33266.0,0.2334919124643197,0.08840650293374151
CA,13,481111.0,112292.0,7010799.0,303901.0,2322002.0,1583525.0,2785967.0,0.23340143958462808,0.043443007864459406
IN,1,32061.0,7448.0,519187.0,26714.0,171897.0,76144.0,243505.0,0.2323071644677334,0.05154555628449041
AK,1,15987.0,3702.0,190290.0,8635.0,56602.0,37103.0,85053.0,0.23156314505535747,0.04607962944186816
NC,8,237804.0,54923.0,4590958.0,273325.0,1437585.0,674250.0,2198719.0,0.23095910918235185,0.059627446536001494
KY,3,54102.0,12438.0,929938.0,65395.0,307089.0,133262.0,423034.0,0.2298990795164689,0.07040956954284115
OH,3,64569.0,14770.0,1073738.0,68963.0,354370.0,150394.0,498546.0,0.22874754138983103,0.06431477804626247
AL,4,26304.0,5933.0,413901.0,33441.0,138358.0,60397.0,180927.0,0.22555504866180048,0.08094683665639531
